DN,objectClass,cn,name,groupType,displayName
"CN=London-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,London-Employees,London-Employees,-2147483646,LondonStaff
"CN=Minneapolis-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Minneapolis-Admins,Minneapolis-Admins,-2147483646,MinneapolisAdmins
"CN=Minneapolis-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Minneapolis-Employees,Minneapolis-Employees,-2147483646,MinneapolisStaff
"CN=Moscow-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Moscow-Admins,Moscow-Admins,-2147483646,MoscowAdmins
"CN=New York-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,New York-Admins,New York-Admins,-2147483646,New YorkAdmins
"CN=New York-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,New York-Employees,New York-Employees,-2147483646,NewYorkStaff
"CN=Phoenix-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Phoenix-Admins,Phoenix-Admins,-2147483646,PhoenixAdmins
"CN=Phoenix-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Phoenix-Employees,Phoenix-Employees,-2147483646,PhoenixStaff
"CN=Redmond-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Redmond-Admins,Redmond-Admins,-2147483646,RedmondAdmins
"CN=Redmond-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Redmond-Employees,Redmond-Employees,-2147483646,RedmondStaff
"CN=San Francisco-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,San Francisco-Admins,San Francisco-Admins,-2147483646,San FranciscoAdmins
"CN=San Francisco-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,San Francisco-Employees,San Francisco-Employees,-2147483646,SanFranciscoStaff
"CN=Seattle-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Seattle-Admins,Seattle-Admins,-2147483646,SeattleAdmins
"CN=Seattle-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Seattle-Employees,Seattle-Employees,-2147483646,SeattleStaff
"CN=Toronto-Admins,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Toronto-Admins,Toronto-Admins,-2147483646,TorontoAdmins
"CN=Toronto-Employees,OU=Migrated City Groups,OU=Groups,DC=contoso,DC=com",group,Toronto-Employees,Toronto-Employees,-2147483646,TorontoStaff
"CN=All United Kingdom Users,OU=Groups,DC=contoso,DC=com",group,All United Kingdom Users,All United Kingdom Users,-2147483640,All United Kingdom Users
"CN=All US Users,OU=Groups,DC=contoso,DC=com",group,All US Users,All US Users,-2147483646,All US Users
"CN=ADSyncAdmins,CN=Users,DC=contoso,DC=com",group,ADSyncAdmins,ADSyncAdmins,-2147483644,
"CN=ADSyncOperators,CN=Users,DC=contoso,DC=com",group,ADSyncOperators,ADSyncOperators,-2147483644,
"CN=ADSyncBrowse,CN=Users,DC=contoso,DC=com",group,ADSyncBrowse,ADSyncBrowse,-2147483644,
"CN=ADSyncPasswordSet,CN=Users,DC=contoso,DC=com",group,ADSyncPasswordSet,ADSyncPasswordSet,-2147483644,
"CN=basic users,OU=Groups,DC=contoso,DC=com",group,basic users,basic users,-2147483640,basic users
"CN=RestrictedGroup,OU=User Accounts,DC=contoso,DC=com",group,RestrictedGroup,RestrictedGroup,-2147483646,
"CN=Bogus Computer Group,CN=Computers,DC=contoso,DC=com",group,Bogus Computer Group,Bogus Computer Group,-2147483646,
"CN=rterg,OU=Desktops,OU=Workstations,DC=contoso,DC=com",group,rterg,rterg,-2147483646,
"CN=NewUsersPWDBehavior,OU=Groups,DC=contoso,DC=com",group,NewUsersPWDBehavior,NewUsersPWDBehavior,-2147483646,
"CN=Delegate Read Deleted Objects,OU=Groups,OU=Tier 0,OU=Admin,DC=contoso,DC=com",group,Delegate Read Deleted Objects,Delegate Read Deleted Objects,-2147483646,
"CN=RTCUniversalGlobalReadOnlyGroup,CN=Users,DC=contoso,DC=com",group,RTCUniversalGlobalReadOnlyGroup,RTCUniversalGlobalReadOnlyGroup,-2147483640,
"CN=RTCUniversalGlobalWriteGroup,CN=Users,DC=contoso,DC=com",group,RTCUniversalGlobalWriteGroup,RTCUniversalGlobalWriteGroup,-2147483640,
"CN=RTCUniversalServerReadOnlyGroup,CN=Users,DC=contoso,DC=com",group,RTCUniversalServerReadOnlyGroup,RTCUniversalServerReadOnlyGroup,-2147483640,
"CN=RTCUniversalUserReadOnlyGroup,CN=Users,DC=contoso,DC=com",group,RTCUniversalUserReadOnlyGroup,RTCUniversalUserReadOnlyGroup,-2147483640,
"CN=RTCHSUniversalServices,CN=Users,DC=contoso,DC=com",group,RTCHSUniversalServices,RTCHSUniversalServices,-2147483640,
"CN=RTCComponentUniversalServices,CN=Users,DC=contoso,DC=com",group,RTCComponentUniversalServices,RTCComponentUniversalServices,-2147483640,
"CN=RTCProxyUniversalServices,CN=Users,DC=contoso,DC=com",group,RTCProxyUniversalServices,RTCProxyUniversalServices,-2147483640,
"CN=RTCUniversalServerAdmins,CN=Users,DC=contoso,DC=com",group,RTCUniversalServerAdmins,RTCUniversalServerAdmins,-2147483640,
"CN=RTCUniversalUserAdmins,CN=Users,DC=contoso,DC=com",group,RTCUniversalUserAdmins,RTCUniversalUserAdmins,-2147483640,
"CN=RTCUniversalReadOnlyAdmins,CN=Users,DC=contoso,DC=com",group,RTCUniversalReadOnlyAdmins,RTCUniversalReadOnlyAdmins,-2147483640,
"CN=RTCUniversalConfigReplicator,CN=Users,DC=contoso,DC=com",group,RTCUniversalConfigReplicator,RTCUniversalConfigReplicator,-2147483640,
"CN=RTCUniversalSBATechnicians,CN=Users,DC=contoso,DC=com",group,RTCUniversalSBATechnicians,RTCUniversalSBATechnicians,-2147483640,
"CN=RTCSBAUniversalServices,CN=Users,DC=contoso,DC=com",group,RTCSBAUniversalServices,RTCSBAUniversalServices,-2147483640,
"CN=CSAdministrator,CN=Users,DC=contoso,DC=com",group,CSAdministrator,CSAdministrator,-2147483640,
"CN=CSVoiceAdministrator,CN=Users,DC=contoso,DC=com",group,CSVoiceAdministrator,CSVoiceAdministrator,-2147483640,
"CN=CSUserAdministrator,CN=Users,DC=contoso,DC=com",group,CSUserAdministrator,CSUserAdministrator,-2147483640,
"CN=CSResponseGroupAdministrator,CN=Users,DC=contoso,DC=com",group,CSResponseGroupAdministrator,CSResponseGroupAdministrator,-2147483640,
"CN=CSResponseGroupManager,CN=Users,DC=contoso,DC=com",group,CSResponseGroupManager,CSResponseGroupManager,-2147483640,
"CN=CSLocationAdministrator,CN=Users,DC=contoso,DC=com",group,CSLocationAdministrator,CSLocationAdministrator,-2147483640,
"CN=CSArchivingAdministrator,CN=Users,DC=contoso,DC=com",group,CSArchivingAdministrator,CSArchivingAdministrator,-2147483640,
"CN=CSServerAdministrator,CN=Users,DC=contoso,DC=com",group,CSServerAdministrator,CSServerAdministrator,-2147483640,
"CN=CSViewOnlyAdministrator,CN=Users,DC=contoso,DC=com",group,CSViewOnlyAdministrator,CSViewOnlyAdministrator,-2147483640,
"CN=CSHelpDesk,CN=Users,DC=contoso,DC=com",group,CSHelpDesk,CSHelpDesk,-2147483640,
"CN=CSPersistentChatAdministrator,CN=Users,DC=contoso,DC=com",group,CSPersistentChatAdministrator,CSPersistentChatAdministrator,-2147483640,
"CN=JEA_DEMO,OU=Groups,DC=contoso,DC=com",group,JEA_DEMO,JEA_DEMO,-2147483646,
"CN=DCRestrictedAdmin,CN=Builtin,DC=contoso,DC=com",group,DCRestrictedAdmin,DCRestrictedAdmin,-2147483646,
"CN=Nested,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,Nested,Nested,-2147483646,
"CN=Nestdtest,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,Nestdtest,Nestdtest,-2147483646,Nestdtest
"CN=NestdGroup-1,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-1,NestdGroup-1,-2147483646,NestdGroup-1
"CN=NestdGroup-2,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-2,NestdGroup-2,-2147483646,NestdGroup-2
"CN=NestdGroup-3,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-3,NestdGroup-3,-2147483646,NestdGroup-3
"CN=NestdGroup-4,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-4,NestdGroup-4,-2147483646,NestdGroup-4
"CN=NestdGroup-5,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-5,NestdGroup-5,-2147483646,NestdGroup-5
"CN=NestdGroup-6,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-6,NestdGroup-6,-2147483646,NestdGroup-6
"CN=NestdGroup-7,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-7,NestdGroup-7,-2147483646,NestdGroup-7
"CN=NestdGroup-8,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-8,NestdGroup-8,-2147483646,NestdGroup-8
"CN=NestdGroup-9,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-9,NestdGroup-9,-2147483646,NestdGroup-9
"CN=NestdGroup-10,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-10,NestdGroup-10,-2147483646,NestdGroup-10
"CN=NestdGroup-11,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-11,NestdGroup-11,-2147483646,NestdGroup-11
"CN=NestdGroup-12,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-12,NestdGroup-12,-2147483646,NestdGroup-12
"CN=NestdGroup-13,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-13,NestdGroup-13,-2147483646,NestdGroup-13
"CN=NestdGroup-14,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-14,NestdGroup-14,-2147483646,NestdGroup-14
"CN=NestdGroup-15,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-15,NestdGroup-15,-2147483646,NestdGroup-15
"CN=NestdGroup-16,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-16,NestdGroup-16,-2147483646,NestdGroup-16
"CN=NestdGroup-17,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-17,NestdGroup-17,-2147483646,NestdGroup-17
"CN=NestdGroup-18,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-18,NestdGroup-18,-2147483646,NestdGroup-18
"CN=NestdGroup-19,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-19,NestdGroup-19,-2147483646,NestdGroup-19
"CN=NestdGroup-20,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-20,NestdGroup-20,-2147483646,NestdGroup-20
"CN=NestdGroup-21,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-21,NestdGroup-21,-2147483646,NestdGroup-21
"CN=NestdGroup-22,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-22,NestdGroup-22,-2147483646,NestdGroup-22
"CN=NestdGroup-23,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-23,NestdGroup-23,-2147483646,NestdGroup-23
"CN=NestdGroup-24,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-24,NestdGroup-24,-2147483646,NestdGroup-24
"CN=NestdGroup-25,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-25,NestdGroup-25,-2147483646,NestdGroup-25
"CN=NestdGroup-26,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-26,NestdGroup-26,-2147483646,NestdGroup-26
"CN=NestdGroup-27,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-27,NestdGroup-27,-2147483646,NestdGroup-27
"CN=NestdGroup-28,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-28,NestdGroup-28,-2147483646,NestdGroup-28
"CN=NestdGroup-29,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-29,NestdGroup-29,-2147483646,NestdGroup-29
"CN=NestdGroup-30,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-30,NestdGroup-30,-2147483646,NestdGroup-30
"CN=NestdGroup-31,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-31,NestdGroup-31,-2147483646,NestdGroup-31
"CN=NestdGroup-32,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-32,NestdGroup-32,-2147483646,NestdGroup-32
"CN=NestdGroup-33,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-33,NestdGroup-33,-2147483646,NestdGroup-33
"CN=NestdGroup-34,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-34,NestdGroup-34,-2147483646,NestdGroup-34
"CN=NestdGroup-35,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-35,NestdGroup-35,-2147483646,NestdGroup-35
"CN=NestdGroup-36,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-36,NestdGroup-36,-2147483646,NestdGroup-36
"CN=NestdGroup-37,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-37,NestdGroup-37,-2147483646,NestdGroup-37
"CN=NestdGroup-38,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-38,NestdGroup-38,-2147483646,NestdGroup-38
"CN=NestdGroup-39,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-39,NestdGroup-39,-2147483646,NestdGroup-39
"CN=NestdGroup-40,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-40,NestdGroup-40,-2147483646,NestdGroup-40
"CN=NestdGroup-41,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-41,NestdGroup-41,-2147483646,NestdGroup-41
"CN=NestdGroup-42,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-42,NestdGroup-42,-2147483646,NestdGroup-42
"CN=NestdGroup-43,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-43,NestdGroup-43,-2147483646,NestdGroup-43
"CN=NestdGroup-44,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-44,NestdGroup-44,-2147483646,NestdGroup-44
"CN=NestdGroup-45,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-45,NestdGroup-45,-2147483646,NestdGroup-45
"CN=NestdGroup-46,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-46,NestdGroup-46,-2147483646,NestdGroup-46
"CN=NestdGroup-47,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-47,NestdGroup-47,-2147483646,NestdGroup-47
"CN=NestdGroup-48,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-48,NestdGroup-48,-2147483646,NestdGroup-48
"CN=NestdGroup-49,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-49,NestdGroup-49,-2147483646,NestdGroup-49
"CN=NestdGroup-50,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-50,NestdGroup-50,-2147483646,NestdGroup-50
"CN=NestdGroup-51,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-51,NestdGroup-51,-2147483646,NestdGroup-51
"CN=NestdGroup-52,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-52,NestdGroup-52,-2147483646,NestdGroup-52
"CN=NestdGroup-53,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-53,NestdGroup-53,-2147483646,NestdGroup-53
"CN=NestdGroup-54,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-54,NestdGroup-54,-2147483646,NestdGroup-54
"CN=NestdGroup-55,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-55,NestdGroup-55,-2147483646,NestdGroup-55
"CN=NestdGroup-56,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-56,NestdGroup-56,-2147483646,NestdGroup-56
"CN=NestdGroup-57,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-57,NestdGroup-57,-2147483646,NestdGroup-57
"CN=NestdGroup-58,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-58,NestdGroup-58,-2147483646,NestdGroup-58
"CN=NestdGroup-59,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-59,NestdGroup-59,-2147483646,NestdGroup-59
"CN=NestdGroup-60,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-60,NestdGroup-60,-2147483646,NestdGroup-60
"CN=NestdGroup-61,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-61,NestdGroup-61,-2147483646,NestdGroup-61
"CN=NestdGroup-62,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-62,NestdGroup-62,-2147483646,NestdGroup-62
"CN=NestdGroup-63,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-63,NestdGroup-63,-2147483646,NestdGroup-63
"CN=NestdGroup-64,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-64,NestdGroup-64,-2147483646,NestdGroup-64
"CN=NestdGroup-65,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-65,NestdGroup-65,-2147483646,NestdGroup-65
"CN=NestdGroup-66,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-66,NestdGroup-66,-2147483646,NestdGroup-66
"CN=NestdGroup-67,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-67,NestdGroup-67,-2147483646,NestdGroup-67
"CN=NestdGroup-68,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-68,NestdGroup-68,-2147483646,NestdGroup-68
"CN=NestdGroup-69,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-69,NestdGroup-69,-2147483646,NestdGroup-69
"CN=NestdGroup-70,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-70,NestdGroup-70,-2147483646,NestdGroup-70
"CN=NestdGroup-71,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-71,NestdGroup-71,-2147483646,NestdGroup-71
"CN=NestdGroup-72,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-72,NestdGroup-72,-2147483646,NestdGroup-72
"CN=NestdGroup-73,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-73,NestdGroup-73,-2147483646,NestdGroup-73
"CN=NestdGroup-74,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-74,NestdGroup-74,-2147483646,NestdGroup-74
"CN=NestdGroup-75,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-75,NestdGroup-75,-2147483646,NestdGroup-75
"CN=NestdGroup-76,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-76,NestdGroup-76,-2147483646,NestdGroup-76
"CN=NestdGroup-77,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-77,NestdGroup-77,-2147483646,NestdGroup-77
"CN=NestdGroup-78,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-78,NestdGroup-78,-2147483646,NestdGroup-78
"CN=NestdGroup-79,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-79,NestdGroup-79,-2147483646,NestdGroup-79
"CN=NestdGroup-80,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-80,NestdGroup-80,-2147483646,NestdGroup-80
"CN=NestdGroup-81,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-81,NestdGroup-81,-2147483646,NestdGroup-81
"CN=NestdGroup-82,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-82,NestdGroup-82,-2147483646,NestdGroup-82
"CN=NestdGroup-83,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-83,NestdGroup-83,-2147483646,NestdGroup-83
"CN=NestdGroup-84,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-84,NestdGroup-84,-2147483646,NestdGroup-84
"CN=NestdGroup-85,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-85,NestdGroup-85,-2147483646,NestdGroup-85
"CN=NestdGroup-86,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-86,NestdGroup-86,-2147483646,NestdGroup-86
"CN=NestdGroup-87,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-87,NestdGroup-87,-2147483646,NestdGroup-87
"CN=NestdGroup-88,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-88,NestdGroup-88,-2147483646,NestdGroup-88
"CN=NestdGroup-89,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-89,NestdGroup-89,-2147483646,NestdGroup-89
"CN=NestdGroup-90,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-90,NestdGroup-90,-2147483646,NestdGroup-90
"CN=NestdGroup-91,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-91,NestdGroup-91,-2147483646,NestdGroup-91
"CN=NestdGroup-92,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-92,NestdGroup-92,-2147483646,NestdGroup-92
"CN=NestdGroup-93,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-93,NestdGroup-93,-2147483646,NestdGroup-93
"CN=NestdGroup-94,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-94,NestdGroup-94,-2147483646,NestdGroup-94
"CN=NestdGroup-95,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-95,NestdGroup-95,-2147483646,NestdGroup-95
"CN=NestdGroup-96,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-96,NestdGroup-96,-2147483646,NestdGroup-96
"CN=NestdGroup-97,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-97,NestdGroup-97,-2147483646,NestdGroup-97
"CN=NestdGroup-98,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-98,NestdGroup-98,-2147483646,NestdGroup-98
"CN=NestdGroup-99,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-99,NestdGroup-99,-2147483646,NestdGroup-99
"CN=NestdGroup-100,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-100,NestdGroup-100,-2147483646,NestdGroup-100
"CN=NestdGroup-101,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-101,NestdGroup-101,-2147483646,NestdGroup-101
"CN=NestdGroup-102,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-102,NestdGroup-102,-2147483646,NestdGroup-102
"CN=NestdGroup-103,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-103,NestdGroup-103,-2147483646,NestdGroup-103
"CN=NestdGroup-104,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-104,NestdGroup-104,-2147483646,NestdGroup-104
"CN=NestdGroup-105,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-105,NestdGroup-105,-2147483646,NestdGroup-105
"CN=NestdGroup-106,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-106,NestdGroup-106,-2147483646,NestdGroup-106
"CN=NestdGroup-107,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-107,NestdGroup-107,-2147483646,NestdGroup-107
"CN=NestdGroup-108,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-108,NestdGroup-108,-2147483646,NestdGroup-108
"CN=NestdGroup-109,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-109,NestdGroup-109,-2147483646,NestdGroup-109
"CN=NestdGroup-110,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-110,NestdGroup-110,-2147483646,NestdGroup-110
"CN=NestdGroup-111,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-111,NestdGroup-111,-2147483646,NestdGroup-111
"CN=NestdGroup-112,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-112,NestdGroup-112,-2147483646,NestdGroup-112
"CN=NestdGroup-113,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-113,NestdGroup-113,-2147483646,NestdGroup-113
"CN=NestdGroup-114,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-114,NestdGroup-114,-2147483646,NestdGroup-114
"CN=NestdGroup-115,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-115,NestdGroup-115,-2147483646,NestdGroup-115
"CN=NestdGroup-116,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-116,NestdGroup-116,-2147483646,NestdGroup-116
"CN=NestdGroup-117,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-117,NestdGroup-117,-2147483646,NestdGroup-117
"CN=NestdGroup-118,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-118,NestdGroup-118,-2147483646,NestdGroup-118
"CN=NestdGroup-119,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-119,NestdGroup-119,-2147483646,NestdGroup-119
"CN=NestdGroup-120,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-120,NestdGroup-120,-2147483646,NestdGroup-120
"CN=NestdGroup-121,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-121,NestdGroup-121,-2147483646,NestdGroup-121
"CN=NestdGroup-122,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-122,NestdGroup-122,-2147483646,NestdGroup-122
"CN=NestdGroup-123,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-123,NestdGroup-123,-2147483646,NestdGroup-123
"CN=NestdGroup-124,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-124,NestdGroup-124,-2147483646,NestdGroup-124
"CN=NestdGroup-125,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-125,NestdGroup-125,-2147483646,NestdGroup-125
"CN=NestdGroup-126,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-126,NestdGroup-126,-2147483646,NestdGroup-126
"CN=NestdGroup-127,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-127,NestdGroup-127,-2147483646,NestdGroup-127
"CN=NestdGroup-128,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-128,NestdGroup-128,-2147483646,NestdGroup-128
"CN=NestdGroup-129,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-129,NestdGroup-129,-2147483646,NestdGroup-129
"CN=NestdGroup-130,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-130,NestdGroup-130,-2147483646,NestdGroup-130
"CN=NestdGroup-131,OU=GroupCount,OU=Groups,DC=contoso,DC=com",group,NestdGroup-131,NestdGroup-131,-2147483646,NestdGroup-131
